Date,Ticker,Sector,Return,Market_Return,Risk_Free_Rate,Excess_Return,Excess_Market_Return,Lagged_Return,Volatility,Momentum,Technology,Financials,Healthcare,Consumer
2008-01-01,AAPL,Technology,,,0.0022916666666666667,,,,,,1,0,0,0
2008-01-01,AMZN,Technology,,,0.0022916666666666667,,,,,,1,0,0,0
2008-01-01,BAC,Financials,,,0.0022916666666666667,,,,,,0,1,0,0
2008-01-01,C,Financials,,,0.0022916666666666667,,,,,,0,1,0,0
2008-01-01,COST,Consumer,,,0.0022916666666666667,,,,,,0,0,0,1
2008-01-01,GOOGL,Technology,,,0.0022916666666666667,,,,,,1,0,0,0
2008-01-01,GS,Financials,,,0.0022916666666666667,,,,,,0,1,0,0
2008-01-01,JNJ,Healthcare,,,0.0022916666666666667,,,,,,0,0,1,0
2008-01-01,JPM,Financials,,,0.0022916666666666667,,,,,,0,1,0,0
2008-01-01,KO,Consumer,,,0.0022916666666666667,,,,,,0,0,0,1
2008-01-01,MCD,Consumer,,,0.0022916666666666667,,,,,,0,0,0,1
2008-01-01,MRK,Healthcare,,,0.0022916666666666667,,,,,,0,0,1,0
2008-01-01,MS,Financials,,,0.0022916666666666667,,,,,,0,1,0,0
2008-01-01,MSFT,Technology,,,0.0022916666666666667,,,,,,1,0,0,0
2008-01-01,NVDA,Technology,,,0.0022916666666666667,,,,,,1,0,0,0
2008-01-01,PFE,Healthcare,,,0.0022916666666666667,,,,,,0,0,1,0
2008-01-01,PG,Consumer,,,0.0022916666666666667,,,,,,0,0,0,1
2008-01-01,UNH,Healthcare,,,0.0022916666666666667,,,,,,0,0,1,0
2008-01-01,WMT,Consumer,,,0.0022916666666666667,,,,,,0,0,0,1
2008-02-01,AAPL,Technology,-0.0763890915561045,-0.0347611927372881,0.0017666666666666666,-0.07815575822277117,-0.03652785940395477,,,,1,0,0,0
2008-02-01,AMZN,Technology,-0.1702702647968186,-0.0347611927372881,0.0017666666666666666,-0.17203693146348525,-0.03652785940395477,,,,1,0,0,0
2008-02-01,BAC,Financials,-0.0998866758550667,-0.0347611927372881,0.0017666666666666666,-0.10165334252173337,-0.03652785940395477,,,,0,1,0,0
2008-02-01,C,Financials,-0.1485515283573036,-0.0347611927372881,0.0017666666666666666,-0.15031819502397026,-0.03652785940395477,,,,0,1,0,0
2008-02-01,COST,Consumer,-0.0886080239896613,-0.0347611927372881,0.0017666666666666666,-0.09037469065632797,-0.03652785940395477,,,,0,0,0,1
2008-02-01,GOOGL,Technology,-0.1650185822545123,-0.0347611927372881,0.0017666666666666666,-0.16678524892117896,-0.03652785940395477,,,,1,0,0,0
2008-02-01,GS,Financials,-0.1484409362101523,-0.0347611927372881,0.0017666666666666666,-0.15020760287681897,-0.03652785940395477,,,,0,1,0,0
2008-02-01,JNJ,Healthcare,-0.0186886025323871,-0.0347611927372881,0.0017666666666666666,-0.020455269199053765,-0.03652785940395477,,,,0,0,1,0
2008-02-01,JPM,Financials,-0.1348734531430612,-0.0347611927372881,0.0017666666666666666,-0.13664011980972787,-0.03652785940395477,,,,0,1,0,0
2008-02-01,KO,Consumer,-0.0091523904705469,-0.0347611927372881,0.0017666666666666666,-0.010919057137213566,-0.03652785940395477,,,,0,0,0,1
2008-02-01,MCD,Consumer,0.0098919329820739,-0.0347611927372881,0.0017666666666666666,0.008125266315407234,-0.03652785940395477,,,,0,0,0,1
2008-02-01,MRK,Healthcare,-0.0390456514963248,-0.0347611927372881,0.0017666666666666666,-0.04081231816299147,-0.03652785940395477,,,,0,0,1,0
2008-02-01,MS,Financials,-0.1413342896716048,-0.0347611927372881,0.0017666666666666666,-0.14310095633827147,-0.03652785940395477,,,,0,1,0,0
2008-02-01,MSFT,Technology,-0.1656441934021171,-0.0347611927372881,0.0017666666666666666,-0.16741086006878378,-0.03652785940395477,,,,1,0,0,0
2008-02-01,NVDA,Technology,-0.130134735232261,-0.0347611927372881,0.0017666666666666666,-0.13190140189892766,-0.03652785940395477,,,,1,0,0,0
2008-02-01,PFE,Healthcare,-0.0462325398763973,-0.0347611927372881,0.0017666666666666666,-0.047999206543063964,-0.03652785940395477,,,,0,0,1,0
2008-02-01,PG,Consumer,0.0167229186860518,-0.0347611927372881,0.0017666666666666666,0.014956252019385132,-0.03652785940395477,,,,0,0,0,1
