Sector,Model,RMSE,MAE,N_Test
Technology,CAPM,0.07419737367560139,0.05337159545341988,360
Technology,Extended Model,0.07347321001308858,0.05328691614191092,360
Technology,Random Forest,0.072620667058576,0.05289104601799581,360
Financials,CAPM,0.06231554841871758,0.05005404741779389,360
Financials,Extended Model,0.06269962367050881,0.05047003625585615,360
Financials,Random Forest,0.06671509037438188,0.05369330413641337,360
Healthcare,CAPM,0.06673824149452225,0.05248811986992391,360
Healthcare,Extended Model,0.0661264264937792,0.05185904278672307,360
Healthcare,Random Forest,0.06241495438286261,0.049016278968916124,360
Consumer,CAPM,0.0505823884286912,0.039205669196736605,360
Consumer,Extended Model,0.05000383348099189,0.03866564125187629,360
Consumer,Random Forest,0.045321145325056635,0.035970056414391854,360
